Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Aug,524
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Sep,558
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Oct,524
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Nov,542
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Dec,521
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Jan,550
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Feb,608
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Mar,510
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Apr,619
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-May,550
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Jun,554
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Jul,491
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Aug,551
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Sep,651
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Oct,555
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Nov,602
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,15-Dec,574
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Jan,600
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Feb,579
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Mar,577
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Apr,580
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-May,560
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Jun,568
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Jul,522
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Aug,576
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Sep,555
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Oct,564
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Nov,561
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,16-Dec,571
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Jan,557
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Feb,598
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Mar,616
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Apr,622
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-May,615
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Jun,567
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Jul,568
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Aug,574
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Sep,596
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Oct,577
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Nov,586
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,17-Dec,716
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Jan,514
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Feb,553
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Mar,581
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Apr,580
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-May,547
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Jun,563
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Jul,523
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Aug,549
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Sep,602
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Oct,555
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Nov,588
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,18-Dec,577
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Jan,533
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Feb,608
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Mar,570
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Apr,538
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-May,501
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Jun,520
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Jul,552
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Aug,551
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Sep,567
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Oct,558
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Nov,575
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,19-Dec,530
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Jan,583
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Feb,560
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Mar,431
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Apr,231
